alpha,alpha3,average_cost,batch_size,critic1 error,critic2 error,entropy,eplenmean,eplrewmean,eprewmean,lr_a,lr_c,lr_l,lyapunov error,lyapunov_lambda,policy_loss,target_entropy,tau,total_timesteps
0.034992665,,0.1389314317141591,,0.93873215,0.98760253,-0.9917642,250.0,0.0,34.73285792853977,5.5691666666666674e-05,0.000167075,0.000167075,7.08105,1.0,11.589371,,,133120
0.035173763,,0.12844109098493836,,1.3273653,1.3606037,-1.0280657,250.0,0.0,32.11027274623459,5.5025e-05,0.000165075,0.000165075,8.050573,1.0,11.752047,,,135168
0.035670396,,0.1283624266258003,,1.0073413,1.0206044,-1.0158293,250.0,0.0,32.09060665645008,5.427500000000001e-05,0.00016282500000000001,0.00016282500000000001,7.8691225,1.0,11.392628,,,137216
0.036622316,,0.08136911660002273,,1.4236425,1.4787066,-1.03846,250.0,0.0,20.342279150005684,5.360833333333334e-05,0.000160825,0.000160825,7.587728,1.0,11.236884,,,139264
0.037241902,,0.1574886283026487,,1.1616194,1.1744875,-1.03699,250.0,0.0,39.37215707566217,5.294166666666667e-05,0.00015882499999999997,0.00015882499999999997,6.4899893,1.0,11.416338,,,141312
0.037759136,,0.14610477053706275,,0.94643354,0.9833086,-1.0294905,238.1,0.0,34.78754586487464,5.223133333333334e-05,0.000156694,0.000156694,7.191809,1.0,11.350027,,,143360
0.037793804,,0.0712696683326877,,0.8727339,0.8947633,-1.0070602,250.0,0.0,17.817417083171925,5.1564666666666664e-05,0.00015469399999999995,0.00015469399999999995,7.4791336,1.0,11.28897,,,145408
0.03711394,,0.18966899729867018,,0.820806,0.8568099,-0.92891467,248.4,0.0,47.113778928989674,5.090333333333334e-05,0.00015271,0.00015271,6.8873186,1.0,11.1835785,,,147456
0.036548015,,0.14828785098979586,,1.0563531,1.0729672,-0.984748,249.1,0.0,36.938503681558146,5.0239666666666666e-05,0.00015071899999999998,0.00015071899999999998,7.595237,1.0,11.447189,,,149504
0.036249533,,0.1710041683901989,,1.0556118,1.0682358,-0.9771651,250.0,0.0,42.75104209754973,4.948966666666667e-05,0.00014846899999999998,0.00014846899999999998,6.1265764,1.0,11.191008,,,151552
